Epoch,Layer,Mean,Std,L2
2,layers.layer_0.weight,1.4420369863510132,2.1135173255970585e-07,2.0403850078582764
2,layers.layer_1.weight,1.9821745157241821,2.6703625621848914e-07,11.330915451049805
2,layers.layer_2.weight,2.056032657623291,2.678165742509009e-07,11.321358680725098
2,layers.layer_3.weight,2.070859909057617,2.729971697590372e-07,11.197897911071777
2,layers.layer_4.weight,2.0718555450439453,2.741488174251572e-07,11.327003479003906
2,layers.layer_5.weight,2.1899735927581787,2.9064605655548803e-07,11.226778030395508
2,layers.layer_6.weight,1.3537198305130005,1.9491250213832245e-07,2.077054262161255
4,layers.layer_0.weight,0.8795676827430725,5.06722926729708e-07,2.035900115966797
4,layers.layer_1.weight,1.2899693250656128,6.634448936893023e-07,11.332199096679688
4,layers.layer_2.weight,1.5018655061721802,6.663186695732293e-07,11.32101058959961
4,layers.layer_3.weight,1.5985902547836304,7.152933108045545e-07,11.196491241455078
4,layers.layer_4.weight,1.6516928672790527,6.743848075529968e-07,11.32492446899414
4,layers.layer_5.weight,1.7490601539611816,6.039924755896209e-07,11.225137710571289
4,layers.layer_6.weight,1.0860044956207275,4.124679264805309e-07,2.07155442237854
6,layers.layer_0.weight,0.33803847432136536,7.028192499092256e-07,2.031923770904541
6,layers.layer_1.weight,0.5255669355392456,9.026234693010338e-07,11.334502220153809
6,layers.layer_2.weight,0.5731195211410522,8.828039881336736e-07,11.32106876373291
6,layers.layer_3.weight,0.5835152268409729,9.22699825878226e-07,11.195074081420898
6,layers.layer_4.weight,0.563678503036499,8.278958603114006e-07,11.322929382324219
6,layers.layer_5.weight,0.6037405729293823,6.848857196928293e-07,11.224797248840332
6,layers.layer_6.weight,0.3871203660964966,4.575030345677078e-07,2.065443515777588
8,layers.layer_0.weight,0.42536771297454834,7.462787152689998e-07,2.0283918380737305
8,layers.layer_1.weight,0.7797117233276367,9.453380016566371e-07,11.336673736572266
8,layers.layer_2.weight,0.9835993647575378,9.073534101844416e-07,11.32159423828125
8,layers.layer_3.weight,1.1413402557373047,9.284075304094586e-07,11.194280624389648
8,layers.layer_4.weight,1.18549382686615,8.141374223669118e-07,11.321636199951172
8,layers.layer_5.weight,1.2406065464019775,6.547269890688767e-07,11.224470138549805
8,layers.layer_6.weight,0.7958419919013977,4.4133838628113153e-07,2.059607982635498
10,layers.layer_0.weight,0.2228851169347763,1.0755315997812431e-06,2.0246386528015137
10,layers.layer_1.weight,0.397481769323349,1.3486246643878985e-06,11.338085174560547
10,layers.layer_2.weight,0.49201443791389465,1.2615857940545538e-06,11.32199478149414
10,layers.layer_3.weight,0.5714241862297058,1.2521732060122304e-06,11.19367790222168
10,layers.layer_4.weight,0.6008793115615845,1.0516631618884276e-06,11.320454597473145
10,layers.layer_5.weight,0.6222344636917114,7.949354881020554e-07,11.223468780517578
10,layers.layer_6.weight,0.3955167233943939,5.322706329025095e-07,2.054065704345703
12,layers.layer_0.weight,0.2122180163860321,1.211874291584536e-06,2.021519422531128
12,layers.layer_1.weight,0.27675315737724304,1.5387324765470112e-06,11.339513778686523
12,layers.layer_2.weight,0.26454830169677734,1.428308678441681e-06,11.32267951965332
12,layers.layer_3.weight,0.251399964094162,1.4015688520885305e-06,11.193672180175781
12,layers.layer_4.weight,0.2794712483882904,1.1354409252817277e-06,11.319849014282227
12,layers.layer_5.weight,0.3096886873245239,8.4865047256244e-07,11.222712516784668
12,layers.layer_6.weight,0.199771910905838,5.763644708167703e-07,2.049082040786743
14,layers.layer_0.weight,0.2808815836906433,1.5567487707812688e-06,2.0193049907684326
14,layers.layer_1.weight,0.355065256357193,1.9698034066095715e-06,11.341087341308594
14,layers.layer_2.weight,0.32043153047561646,1.7922080814969377e-06,11.32361888885498
14,layers.layer_3.weight,0.28770747780799866,1.7216872265635175e-06,11.194087982177734
14,layers.layer_4.weight,0.3077128529548645,1.3719858316108002e-06,11.319725036621094
14,layers.layer_5.weight,0.3174744248390198,1.0344776910642395e-06,11.222418785095215
14,layers.layer_6.weight,0.20653711259365082,7.101606911419367e-07,2.044693946838379
16,layers.layer_0.weight,0.30264782905578613,5.78584149479866e-07,2.017833709716797
16,layers.layer_1.weight,0.3832150101661682,7.019702366051206e-07,11.342692375183105
16,layers.layer_2.weight,0.32828670740127563,5.741040354223514e-07,11.324647903442383
16,layers.layer_3.weight,0.2729075849056244,5.122334982843313e-07,11.19470500946045
16,layers.layer_4.weight,0.2761809527873993,4.552945540581277e-07,11.31986141204834
16,layers.layer_5.weight,0.2813362181186676,4.595596010403824e-07,11.222434043884277
16,layers.layer_6.weight,0.183771014213562,3.174917253545573e-07,2.0405690670013428
18,layers.layer_0.weight,0.3422113060951233,6.703165809085476e-07,2.0169448852539062
18,layers.layer_1.weight,0.45452815294265747,8.166433644873905e-07,11.344306945800781
18,layers.layer_2.weight,0.3817969560623169,6.613778964492667e-07,11.325727462768555
18,layers.layer_3.weight,0.32105594873428345,5.977397563583509e-07,11.195466041564941
18,layers.layer_4.weight,0.32718995213508606,5.786732231172209e-07,11.320205688476562
18,layers.layer_5.weight,0.3582072854042053,6.367529294948326e-07,11.222675323486328
18,layers.layer_6.weight,0.22399480640888214,4.431005322658166e-07,2.036524772644043
20,layers.layer_0.weight,0.35363543033599854,7.077949817357876e-07,2.0162065029144287
20,layers.layer_1.weight,0.469756543636322,8.730964964343002e-07,11.345846176147461
20,layers.layer_2.weight,0.38612282276153564,7.134391353247338e-07,11.326595306396484
20,layers.layer_3.weight,0.3196909725666046,6.632997724409506e-07,11.195947647094727
20,layers.layer_4.weight,0.32125335931777954,6.631288442804362e-07,11.320313453674316
20,layers.layer_5.weight,0.3614376485347748,7.444103857778828e-07,11.222837448120117
20,layers.layer_6.weight,0.22495554387569427,5.199081556384044e-07,2.0326805114746094
22,layers.layer_0.weight,0.0555526539683342,6.522923285956495e-07,2.0155534744262695
22,layers.layer_1.weight,0.07303329557180405,8.110031330943457e-07,11.347248077392578
22,layers.layer_2.weight,0.06207335367798805,6.622971113756648e-07,11.327226638793945
22,layers.layer_3.weight,0.059883665293455124,6.273397161749017e-07,11.196175575256348
22,layers.layer_4.weight,0.05932886525988579,6.318750251921301e-07,11.32022476196289
22,layers.layer_5.weight,0.07245441526174545,7.107830128916248e-07,11.222860336303711
22,layers.layer_6.weight,0.04069814458489418,4.945349587615055e-07,2.029108762741089
24,layers.layer_0.weight,0.26911503076553345,5.593917649093783e-07,2.0152289867401123
24,layers.layer_1.weight,0.3221578598022461,7.018398378022539e-07,11.3485689163208
24,layers.layer_2.weight,0.25059765577316284,5.727911798203422e-07,11.327856063842773
24,layers.layer_3.weight,0.18881641328334808,5.536932121685822e-07,11.196492195129395
24,layers.layer_4.weight,0.17651315033435822,5.567978860199219e-07,11.320270538330078
24,layers.layer_5.weight,0.1837608516216278,6.246733619263978e-07,11.222959518432617
24,layers.layer_6.weight,0.12239118665456772,4.2988858695025556e-07,2.0259883403778076
26,layers.layer_0.weight,0.22640295326709747,4.721403286112036e-07,2.015364646911621
26,layers.layer_1.weight,0.26826348900794983,6.001448014103516e-07,11.349770545959473
26,layers.layer_2.weight,0.203117236495018,4.92396907247894e-07,11.328536987304688
26,layers.layer_3.weight,0.15294480323791504,4.887591558144777e-07,11.196967124938965
26,layers.layer_4.weight,0.14561404287815094,4.921664640278323e-07,11.320518493652344
26,layers.layer_5.weight,0.16059689223766327,5.530218913918361e-07,11.22317886352539
26,layers.layer_6.weight,0.10560563206672668,3.7453517620633647e-07,2.0234107971191406
28,layers.layer_0.weight,0.10394838452339172,6.91466482294345e-07,2.0159671306610107
28,layers.layer_1.weight,0.1380237638950348,9.821301318879705e-07,11.350837707519531
28,layers.layer_2.weight,0.10201166570186615,8.852659902913729e-07,11.329228401184082
28,layers.layer_3.weight,0.08467791229486465,9.46236866639083e-07,11.197516441345215
28,layers.layer_4.weight,0.08604854345321655,9.008117558551021e-07,11.320902824401855
28,layers.layer_5.weight,0.11410585790872574,9.922205208567902e-07,11.223484992980957
28,layers.layer_6.weight,0.0746144950389862,6.451932677009609e-07,2.0214383602142334
30,layers.layer_0.weight,0.2239813208580017,4.0101872400555294e-07,2.016974925994873
30,layers.layer_1.weight,0.28368785977363586,5.834663170389831e-07,11.35179328918457
30,layers.layer_2.weight,0.2293728142976761,5.504841169567953e-07,11.329875946044922
30,layers.layer_3.weight,0.17726805806159973,5.880764319954324e-07,11.198029518127441
30,layers.layer_4.weight,0.15796871483325958,5.564616003539413e-07,11.321313858032227
30,layers.layer_5.weight,0.1777120679616928,5.983612823001749e-07,11.223831176757812
30,layers.layer_6.weight,0.10688277333974838,3.904913228325313e-07,2.0200247764587402
32,layers.layer_0.weight,0.2177453488111496,2.756008825599565e-07,2.0182926654815674
32,layers.layer_1.weight,0.26753532886505127,3.901731417954579e-07,11.352685928344727
32,layers.layer_2.weight,0.21184955537319183,3.614037780153012e-07,11.330395698547363
32,layers.layer_3.weight,0.15522341430187225,3.7353743209678214e-07,11.198387145996094
32,layers.layer_4.weight,0.1340368092060089,3.883765202772338e-07,11.3215913772583
32,layers.layer_5.weight,0.1497378945350647,3.8897417198313633e-07,11.22415542602539
32,layers.layer_6.weight,0.08844225108623505,2.667718774773675e-07,2.0189173221588135
34,layers.layer_0.weight,0.11135505884885788,3.5264974940218963e-07,2.019879102706909
34,layers.layer_1.weight,0.12146101891994476,5.022043865210435e-07,11.353590965270996
34,layers.layer_2.weight,0.08841130137443542,4.704571381353162e-07,11.330892562866211
34,layers.layer_3.weight,0.06881581991910934,4.834502647099725e-07,11.198698043823242
34,layers.layer_4.weight,0.06255625933408737,5.081885205981962e-07,11.321846008300781
34,layers.layer_5.weight,0.07277017086744308,5.131548164172273e-07,11.22451400756836
34,layers.layer_6.weight,0.047675613313913345,3.5439401813164295e-07,2.0179555416107178
36,layers.layer_0.weight,0.2229117602109909,4.4927077169631957e-07,2.0217416286468506
36,layers.layer_1.weight,0.2513025403022766,6.400005077011883e-07,11.354582786560059
36,layers.layer_2.weight,0.1889624446630478,6.044031124474714e-07,11.331579208374023
36,layers.layer_3.weight,0.1406528800725937,6.139524657555739e-07,11.199224472045898
36,layers.layer_4.weight,0.1234530508518219,6.34835430446401e-07,11.32235336303711
36,layers.layer_5.weight,0.14137445390224457,6.398585696842929e-07,11.225006103515625
36,layers.layer_6.weight,0.08621282130479813,4.371633508526429e-07,2.017113447189331
38,layers.layer_0.weight,0.17247173190116882,5.434688432615076e-07,2.023864984512329
38,layers.layer_1.weight,0.18844203650951385,7.735559961474792e-07,11.355701446533203
