Epoch,Layer,Mean,Std,L2
1,layers.layer_0.weight,2.646097183227539,2.6461164951324463,2.0424997806549072
1,layers.layer_1.weight,2.646097183227539,2.6461164951324463,11.328893661499023
1,layers.layer_2.weight,2.646097183227539,2.6461164951324463,11.321568489074707
1,layers.layer_3.weight,2.646097183227539,2.6461164951324463,11.199827194213867
1,layers.layer_4.weight,2.646097183227539,2.6461164951324463,11.328190803527832
1,layers.layer_5.weight,2.646097183227539,2.6461164951324463,11.227694511413574
1,layers.layer_6.weight,2.646097183227539,2.6461164951324463,1.3024795055389404
2,layers.layer_0.weight,9.681879043579102,14.600081443786621,2.0449182987213135
2,layers.layer_1.weight,9.681879043579102,14.600081443786621,11.327651977539062
2,layers.layer_2.weight,9.681879043579102,14.600081443786621,11.319685935974121
2,layers.layer_3.weight,9.681879043579102,14.600081443786621,11.197486877441406
2,layers.layer_4.weight,9.681879043579102,14.600081443786621,11.326454162597656
2,layers.layer_5.weight,9.681879043579102,14.600081443786621,11.225807189941406
2,layers.layer_6.weight,9.681879043579102,14.600081443786621,1.2998623847961426
3,layers.layer_0.weight,8.0433349609375,12.317296028137207,2.0468742847442627
3,layers.layer_1.weight,8.0433349609375,12.317296028137207,11.327432632446289
3,layers.layer_2.weight,8.0433349609375,12.317296028137207,11.31884479522705
3,layers.layer_3.weight,8.0433349609375,12.317296028137207,11.196196556091309
3,layers.layer_4.weight,8.0433349609375,12.317296028137207,11.32573413848877
3,layers.layer_5.weight,8.0433349609375,12.317296028137207,11.225306510925293
3,layers.layer_6.weight,8.0433349609375,12.317296028137207,1.297856330871582
4,layers.layer_0.weight,3.9106483459472656,11.253066062927246,2.0492160320281982
4,layers.layer_1.weight,3.9106483459472656,11.253066062927246,11.327044486999512
4,layers.layer_2.weight,3.9106483459472656,11.253066062927246,11.317790985107422
4,layers.layer_3.weight,3.9106483459472656,11.253066062927246,11.194884300231934
4,layers.layer_4.weight,3.9106483459472656,11.253066062927246,11.324840545654297
4,layers.layer_5.weight,3.9106483459472656,11.253066062927246,11.224096298217773
4,layers.layer_6.weight,3.9106483459472656,11.253066062927246,1.295714259147644
5,layers.layer_0.weight,2.1387534141540527,11.095855712890625,2.052096128463745
5,layers.layer_1.weight,2.1387534141540527,11.095855712890625,11.326488494873047
5,layers.layer_2.weight,2.1387534141540527,11.095855712890625,11.316449165344238
5,layers.layer_3.weight,2.1387534141540527,11.095855712890625,11.193440437316895
5,layers.layer_4.weight,2.1387534141540527,11.095855712890625,11.323774337768555
5,layers.layer_5.weight,2.1387534141540527,11.095855712890625,11.222323417663574
5,layers.layer_6.weight,2.1387534141540527,11.095855712890625,1.2934209108352661
6,layers.layer_0.weight,2.687838077545166,10.642144203186035,2.0550403594970703
6,layers.layer_1.weight,2.687838077545166,10.642144203186035,11.326022148132324
6,layers.layer_2.weight,2.687838077545166,10.642144203186035,11.315231323242188
6,layers.layer_3.weight,2.687838077545166,10.642144203186035,11.192255020141602
6,layers.layer_4.weight,2.687838077545166,10.642144203186035,11.322885513305664
